"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","FetchSize","WriteSize","TCC_HIT[0]","TCC_MISS[0]","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
23,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,63,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702616.25,1039003.125,1763921,1373842,1616924605577056,1616924606169720,1616924609115480,1616924609193115,2945760
24,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,66,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1709533,1039026.5625,1765984,1371706,1616924609216138,1616924609810920,1616924612748361,1616924612825464,2937441
25,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,69,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699692.75,1038993.9375,1767765,1370008,1616924612850391,1616924613437001,1616924616388202,1616924616465979,2951201
26,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,72,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1698185.3125,1039027.625,1767686,1370028,1616924616489232,1616924617087242,1616924620024203,1616924620102966,2936961
27,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,75,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700472.4375,1039014.625,1763316,1374480,1616924620125338,1616924620716803,1616924623667524,1616924623746317,2950721
28,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,78,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1701097.0625,1039023.375,1765610,1372152,1616924623769329,1616924624359244,1616924627307245,1616924627385859,2948001
29,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,81,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1704181.625,1039016.71875,1764328,1373409,1616924627408932,1616924628008325,1616924630948166,1616924630950221,2939841
30,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,84,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1705951,1039022.0625,1765960,1371817,1616924631230293,1616924631625926,1616924634565447,1616924634568104,2939521
31,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,87,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1695327.8125,1039029,1766834,1370936,1616924634856331,1616924635266567,1616924638213448,1616924638291423,2946881
32,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,90,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1701303.0625,1039033.0625,1764331,1373468,1616924638313444,1616924638904608,1616924641842369,1616924641844664,2937761
33,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,93,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699943.3125,1038991.1875,1765943,1371779,1616924642139464,1616924642552609,1616924645511330,1616924645591116,2958721
34,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,96,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1696189.75,1039026.5,1766204,1371563,1616924645614219,1616924646222490,1616924649168891,1616924649248913,2946401
35,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,99,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1701945.1875,1039031.9375,1768593,1369157,1616924649269231,1616924649869651,1616924652809972,1616924652889448,2940321
36,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,102,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1697313,1039011.125,1764106,1373708,1616924652910808,1616924653523692,1616924656457612,1616924656533869,2933920
37,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,105,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1696092.8125,1039031.0625,1767770,1370013,1616924656557383,1616924657152653,1616924660099213,1616924660174564,2946560
38,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,108,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699475.5625,1038989.875,1769702,1368066,1616924660199039,1616924660810111,1616924663751551,1616924663836729,2941440
39,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,111,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702147.375,1039044.3125,1766860,1370949,1616924663862687,1616924664467071,1616924667416671,1616924667497000,2949600
40,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,114,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1708031.5625,1039033.0625,1768538,1369253,1616924667518570,1616924668119031,1616924671056951,1616924671137184,2937920
41,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,117,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700261.5,1039018.3125,1769628,1368142,1616924671158294,1616924671771511,1616924674705912,1616924674785132,2934401
42,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,120,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700837.0625,1039019.125,1768581,1369254,1616924674809217,1616924675404512,1616924678357472,1616924678436768,2952960
43,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,123,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1711631.9375,1039041.875,1768544,1369312,1616924678460582,1616924679072392,1616924682019592,1616924682097480,2947200
44,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,126,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702919.25,1039009.625,1767977,1369879,1616924682120372,1616924682715593,1616924685661033,1616924685737794,2945440
45,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,129,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1697559.6875,1039023.875,1766560,1371256,1616924685759995,1616924686352153,1616924689294873,1616924689374962,2942720
